game_player_id,game_id,game,round,phase,season_code,player_id,is_starter,is_playing,team,dorsal,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation
2007_001_PCRR      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PCRR,1.0,1.0,OLY,11,GREER_ LYNN TERENCE,34:23,20,3,9,2,5,8,8,2,2,4,5,1,1,0,0,3,6,23
2007_001_PJZJ      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PJZJ,1.0,1.0,BAS,12,TELETOVIC_ MIRZA,35:10,19,4,10,3,7,2,2,9,8,17,0,1,3,1,1,1,2,25
2007_001_P000126   ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,P000126,1.0,1.0,OLY,25,JACKSON_ MARC,29:39,21,5,13,2,2,5,5,2,1,3,3,0,1,1,1,1,3,20
2007_001_PCBX      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PCBX,1.0,1.0,BAS,5,PRIGIONI_ PABLO,26:45,8,0,0,2,8,2,2,1,4,5,5,1,2,0,0,4,1,8
2007_001_PBFY      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PBFY,0.0,1.0,OLY,4,BLAKNEY_ RODERICK,01:23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2007_001_BAS,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,BAS,0.0,1.0,BAS,TOTAL,BASKONIA,200:00,90,21,44,12,31,12,15,18,24,42,17,6,13,1,6,21,17,88
2007_001_PALG      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PALG,0.0,1.0,OLY,14,VASILIADIS_ KOSTAS,07:20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0
2007_001_PANB      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PANB,1.0,1.0,BAS,8,RAKOCEVIC_ IGOR,25:50,10,2,10,2,4,0,0,0,3,3,3,1,2,0,2,2,1,2
2007_001_PTGX      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PTGX,0.0,0.0,BAS,11,FERNANDEZ_ LUCHO,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_001_OLY,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,OLY,0.0,1.0,OLY,TOTAL,OLYMPIACOS PIRAEUS B.C.,200:00,95,24,48,8,17,23,27,7,27,34,16,10,11,6,1,17,21,116
2007_001_PTFW      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PTFW,0.0,1.0,OLY,10,TSAKALIDIS_ JAKE,04:51,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0
2007_001_PAFP      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PAFP,0.0,1.0,BAS,10,PLANINIC_ ZORAN,29:09,19,5,9,3,8,0,0,0,4,4,3,0,1,0,1,3,4,16
2007_001_PACJ      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PACJ,0.0,1.0,OLY,5,PAPAMAKARIOS_ MANOLIS,01:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2
2007_001_PCBY      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PCBY,1.0,1.0,BAS,21,SPLITTER_ TIAGO,25:20,11,5,7,0,0,1,2,5,2,7,3,1,2,0,1,2,2,16
2007_001_PAJK      ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,PAJK,0.0,1.0,BAS,9,VIDAL_ SERGI,16:33,5,0,0,1,1,2,4,0,1,1,3,1,0,0,0,1,3,10
2007_001_P000018   ,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,P000018,0.0,0.0,BAS,6,GARCIA_ ANDER,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
