game_id,game,date,time,round,phase,season_code,score_a,score_b,team_a,team_b,code_team_a,code_team_b,coach_a,coach_b,game_time,remaining_partial_time,referee_1,referee_2,referee_3,stadium,capacity,w_id,fouls_a,fouls_b,timeouts_a,timeouts_b,score_quarter_1_a,score_quarter_2_a,score_quarter_3_a,score_quarter_4_a,score_quarter_1_b,score_quarter_2_b,score_quarter_3_b,score_quarter_4_b,score_extra_time_1_a,score_extra_time_2_a,score_extra_time_3_a,score_extra_time_1_b,score_extra_time_2_b,score_extra_time_3_b
2007_001,OLY-BAS,2007-10-25,20:30:00,1,REGULAR SEASON,E2007,95,90,OLYMPIACOS PIRAEUS B.C.,BASKONIA,OLY,BAS,,,40:00,00:00,"JUNGEBRAND, CARL","SUTULOVIC, ZORAN","CEREBUCH, GUERRINO",PEACE AND FRIENDSHIP STADIUM,0,80,17,21,0,0,26,55,70,95,20,37,65,90,,,,,,
2007_002,VIR-ZAL,2007-10-24,20:30:00,1,REGULAR SEASON,E2007,81,75,VIRTUS VIDIVICI BOLOGNA,ZALGIRIS KAUNAS,VIR,ZAL,,,40:00,00:00,"MARTIN, JOSE","CHRISTODOULOU, CHRISTOS","RUTESIC, ZDRAVKO",PALAMALAGUTI,0,80,20,18,4,4,19,37,57,81,21,39,61,75,,,,,,
2007_003,SOP-CSK,2007-10-22,20:15:00,1,REGULAR SEASON,E2007,69,88,PROKOM TREFL SOPOT,CSKA MOSCOW,SOP,CSK,,,40:00,00:00,"PITSILKAS, NIKOLAOS","PUKL,SASA","HIERREZUELO, DANI",OLIVIA SPORT HALL,0,80,18,18,3,1,16,32,50,69,13,45,69,88,,,,,,
2007_004,SIE-LJU,2007-10-24,20:30:00,1,REGULAR SEASON,E2007,80,52,MONTEPASCHI,OLIMPIJA,SIE,LJU,,,40:00,00:00,"AMOROS, XAVIER","MUHVIC, DUBRAVKO","GONTAS, SPIROS",PALASPORTS MENS SANA,0,80,14,18,1,4,20,50,59,80,18,26,41,52,,,,,,
2007_005,ARI-MAL,2007-10-24,20:45:00,1,REGULAR SEASON,E2007,87,83,ARIS THESSALONIKI,BALONCESTO MALAGA,ARI,MAL,,,40:00,00:00,"FACCHINI, FABIO","DOZAI, SRADAN","KOLAR, ROMAN",PALAIS DES SPORTS,0,80,27,28,3,4,24,40,59,87,23,39,65,83,,,,,,
2007_006,CIB-IST,2007-10-24,18:15:00,1,REGULAR SEASON,E2007,93,85,KK CIBONA,EFES PILSEN ISTANBUL,CIB,IST,,,40:00,00:00,"GARCIA ORTIZ, JOSE RAMON","MOUZAKIS, COSTAS","GARCIA GONZALEZ, JUAN CARLOS",BASKETBALL CENTER  DRAZEN PETROVIC,3900,80,23,21,5,4,21,47,75,93,28,54,70,85,,,,,,
2007_007,MIL-LIE,2007-10-25,20:30:00,1,REGULAR SEASON,E2007,76,83,MILANO,LIETUVOS RYTAS,MIL,LIE,,,40:00,00:00,"BELOSEVIC, ILIJA","JERSAN, ANDREJ","PEREZ PEREZ, MIGUEL",FORUMNET,0,80,24,28,4,4,16,29,51,76,26,44,61,83,,,,,,
2007_008,TEL-LEM,2007-10-25,20:45:00,1,REGULAR SEASON,E2007,74,71,MACCABI TEL AVIV,LE MANS SARTHE BASKET,TEL,LEM,,,40:00,00:00,"ANKARALI, RECEP","SPIRIDONOS, LEONIDAS","NESKOVIC, DRAGAN",NOKIA ARENA,11000,80,19,22,2,4,25,41,56,74,23,42,62,71,,,,,,
2007_009,ULK-MAD,2007-10-25,19:15:00,1,REGULAR SEASON,E2007,72,80,FENERBAHCE ULKER,REAL MADRID,ULK,MAD,,,40:00,00:00,"BRAZAUSKAS, ROMUALDAS","TAURINO, PAOLO","RYZHYK, BORYS",ABDI IPEKÇI SPORTS HALL,5000,80,18,16,4,2,10,31,57,72,30,48,68,80,,,,,,
2007_010,PAN-ROM,2007-10-24,19:45:00,1,REGULAR SEASON,E2007,86,83,PANATHINAIKOS,VIRTUS ROMA,PAN,ROM,,,40:00,00:00,"BACHAR, SHMUEL","ARTEAGA, JUAN CARLOS","VOJINOVIC, MILIJA",O.A.K.A.,0,80,21,31,5,4,20,35,62,86,26,45,58,83,,,,,,
