game_player_id,game_id,game,round,phase,season_code,player_id,is_starter,is_playing,team_id,dorsal,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation
U2022_001_P011281,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,P011281,1.0,1.0,LJU,1,"FERRELL, YOGI",31:47,12,4,7,0,6,4,5,0,3,3,7,2,0,0,0,0,6,20
U2022_001_P008930,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,P008930,0.0,1.0,LJU,2,"HARRISON, AARON",21:06,9,1,4,2,5,1,2,0,3,3,3,2,2,0,1,3,2,6
U2022_001_P009392,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,P009392,0.0,1.0,LJU,3,"RADOVIC, ROK",04:55,7,2,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,8
U2022_001_P010551,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,P010551,1.0,1.0,LJU,6,"JEREMIC, MARKO",20:06,9,0,0,3,7,0,0,0,1,1,0,2,0,0,0,4,2,6
U2022_001_P004469,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,P004469,1.0,1.0,LJU,7,"ALIBEGOVIC, AMAR",28:31,11,3,5,1,3,2,2,1,2,3,0,0,2,1,0,4,3,8
U2022_001_P003515,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,P003515,0.0,1.0,LJU,8,"MURIC, EDO",27:14,10,0,0,3,6,1,2,2,9,11,1,0,2,0,0,2,1,15
U2022_001_P000437,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,P000437,0.0,1.0,LJU,9,"MULALIC, MIRKO",04:33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
U2022_001_P007872,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,P007872,1.0,1.0,LJU,14,"ADAMS, JOSH",26:23,6,2,4,0,6,2,3,0,5,5,3,0,1,0,0,2,3,5
U2022_001_P011812,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,P011812,0.0,0.0,LJU,15,"KOSI, JAN",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U2022_001_P007641,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,P007641,0.0,0.0,LJU,19,"GNJIDIC, LOVRO",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
