game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,LJU,BBU,14,6,19,6,7,9,26,8,8,33,3,6,11,3,4,3,4,0,10,5,17,3,47,26,58,23,10,11,15-20,15,25-20,8,28,50-50,30,50-58,5,8,15,30,25-20,50-58
U2022_002,JOV-BRE,1,REGULAR SEASON,U2022,JOV,BRE,11,0,16,6,15,6,28,7,10,24,7,5,8,4,4,5,3,2,14,9,7,0,49,31,48,15,17,27,50-49,34,67-49,6,5,12-7,6,12-13,19,2,35,7,70-51,16-18
U2022_003,PMT-LKB,1,REGULAR SEASON,U2022,PMT,LKB,24,2,18,16,10,19,25,10,13,26,6,6,9,9,7,7,2,2,12,10,10,6,48,34,44,27,9,10,17-17,13,26-17,10,23,50-39,26,50-49,13,5,34,5,72-59,6-11
U2022_004,ULM-VNC,1,REGULAR SEASON,U2022,ULM,VNC,9,5,14,19,12,11,30,10,11,23,8,8,8,3,2,2,9,3,9,8,15,7,38,43,48,32,9,25,40-49,27,49-49,9,20,40-40,25,40-49,7,9,34,25,68-61,40-49
U2022_005,BOU-CLU,1,REGULAR SEASON,U2022,BOU,CLU,0,0,14,17,5,9,27,10,6,25,8,6,10,3,4,6,4,1,15,6,16,6,54,34,65,20,8,31,62-57,34,70-57,8,39,85-76,40,85-84,13,2,34,1,70-57,0-2
U2022_006,TTK-PRS,1,REGULAR SEASON,U2022,TTK,PRS,16,4,13,21,12,20,21,11,13,25,10,5,9,4,6,2,5,1,13,4,13,4,49,26,63,27,10,1,2-0,6,12-0,11,17,40-25,19,40-36,15,15,13,39,29-14,70-85
U2022_007,HTA-LLI,1,REGULAR SEASON,U2022,HTA,LLI,7,4,18,1,13,17,31,13,15,31,5,2,7,6,4,4,4,0,11,6,7,10,49,27,32,27,8,12,26-17,15,34-17,7,17,36-19,18,36-26,19,0,40,0,76-57,
U2022_008,TRN-PAT,1,REGULAR SEASON,U2022,TRN,PAT,8,12,7,13,14,12,27,5,14,30,8,2,6,5,5,2,4,3,9,10,8,8,39,37,62,27,6,29,49-66,30,55-66,11,7,13-9,10,13-20,4,17,7,27,13-9,45-62
U2022_009,CAN-WRO,1,REGULAR SEASON,U2022,CAN,WRO,4,2,17,13,15,10,22,7,16,27,6,7,14,2,6,3,5,2,10,7,16,3,50,42,48,33,7,10,18-24,12,25-24,8,6,13-13,9,13-21,11,8,38,9,87-76,13-21
U2022_010,BUD-HAM,1,REGULAR SEASON,U2022,BUD,HAM,17,10,18,15,6,9,26,8,17,24,11,10,5,10,3,5,5,7,8,7,14,7,26,40,39,34,10,29,50-63,33,60-63,12,15,32-33,18,32-45,5,13,6,18,16-11,32-45
U2022_011,CLU-LJU,2,REGULAR SEASON,U2022,CLU,LJU,6,2,10,15,21,15,29,11,17,22,9,5,7,7,3,1,3,2,11,8,9,4,79,15,48,28,11,35,73-66,37,84-66,11,29,68-46,32,68-57,29,2,24,2,62-33,2-4
U2022_012,VNC-BOU,2,REGULAR SEASON,U2022,VNC,BOU,6,4,18,18,5,12,21,7,8,24,9,9,8,5,2,3,8,4,8,6,10,5,46,27,43,36,9,1,0-0,3,9-0,9,15,24-19,18,24-28,10,11,4,37,12-2,59-70
U2022_013,LKB-ULM,2,REGULAR SEASON,U2022,LKB,ULM,11,12,19,15,12,12,25,11,7,20,10,3,7,7,2,5,1,5,7,11,9,10,41,39,39,37,16,14,26-27,19,42-27,12,31,61-50,34,61-62,19,4,22,3,47-28,5-9
U2022_014,BRE-PMT,2,REGULAR SEASON,U2022,BRE,PMT,16,0,26,10,12,7,32,9,10,18,10,5,8,7,5,5,6,2,16,11,7,4,51,53,46,24,12,6,8-12,10,20-12,6,5,6-4,5,6-10,36,4,40,5,104-68,6-10
U2022_015,BBU-JOV,2,REGULAR SEASON,U2022,BBU,JOV,15,11,23,12,9,4,23,3,12,25,8,3,9,8,7,1,2,3,8,0,10,6,63,18,34,38,10,9,17-22,11,27-22,10,29,61-52,32,61-62,14,5,23,7,55-41,12-17
U2022_016,HAM-TTK,2,REGULAR SEASON,U2022,HAM,TTK,6,4,16,30,2,15,22,11,4,19,15,5,6,8,6,1,8,2,11,6,10,8,44,39,44,44,8,24,44-52,25,52-52,10,16,33-27,17,33-37,6,9,3,23,8-2,41-50
U2022_017,WRO-BUD,2,REGULAR SEASON,U2022,WRO,BUD,2,0,10,14,13,21,22,19,14,37,8,5,5,8,3,3,7,3,11,0,15,9,41,17,63,35,8,18,32-50,23,40-50,13,23,40-50,26,40-63,0,40,0,40,,58-98
U2022_018,PAT-CAN,2,REGULAR SEASON,U2022,PAT,CAN,4,7,13,9,7,7,21,11,5,22,7,3,4,9,1,5,3,3,14,3,14,8,59,34,39,43,17,37,76-82,40,93-82,6,18,36-38,19,36-44,11,11,40,21,93-82,39-50
U2022_019,LLI-TRN,2,REGULAR SEASON,U2022,LLI,TRN,12,7,21,19,2,14,25,9,5,20,12,7,11,9,6,6,5,3,12,5,9,6,64,16,39,36,8,28,50-58,29,58-58,7,6,16-15,8,16-22,5,8,40,27,80-75,47-55
U2022_020,PRS-HTA,2,REGULAR SEASON,U2022,PRS,HTA,11,15,13,11,11,18,26,14,8,32,6,4,10,4,11,0,2,1,14,2,18,6,73,13,56,44,9,34,70-83,36,79-83,11,27,60-63,29,60-74,9,14,9,21,31-22,43-57
U2022_021,LJU-JOV,3,REGULAR SEASON,U2022,LJU,JOV,4,10,18,20,6,9,16,8,11,32,6,4,8,8,2,2,1,3,7,7,11,11,49,29,48,52,6,13,29-37,15,35-37,11,15,35-37,18,35-48,3,23,2,38,5-2,69-92
U2022_022,PMT-BBU,3,REGULAR SEASON,U2022,PMT,BBU,15,8,28,12,17,7,18,18,16,22,5,6,13,6,8,4,3,3,6,10,13,7,52,38,69,15,8,7,11-17,9,19-17,8,2,5-5,4,5-13,14,8,39,4,87-73,5-13
U2022_023,ULM-BRE,3,REGULAR SEASON,U2022,ULM,BRE,12,10,15,17,6,21,24,21,11,32,9,8,10,7,4,3,7,4,10,6,12,10,60,30,57,41,7,1,2-1,3,9-1,8,32,70-65,36,70-73,13,9,17,44,47-34,85-94
U2022_024,BOU-LKB,3,REGULAR SEASON,U2022,BOU,LKB,0,0,17,13,9,12,25,10,17,23,4,10,7,4,1,3,4,5,8,8,8,4,38,48,50,23,11,30,54-58,33,65-58,6,24,48-42,25,48-48,13,8,40,11,86-73,18-26
U2022_025,CLU-VNC,3,REGULAR SEASON,U2022,CLU,VNC,0,0,15,20,10,10,23,7,13,26,9,7,10,6,5,4,4,3,8,11,13,5,56,24,49,36,7,39,68-78,40,75-78,9,12,22-26,16,22-35,4,13,3,16,6-2,22-35
U2022_026,TTK-HTA,3,REGULAR SEASON,U2022,TTK,HTA,17,21,21,9,2,4,27,8,3,28,8,5,13,5,9,1,7,2,18,3,19,3,56,33,47,30,11,9,13-19,10,24-19,7,35,87-63,37,87-70,25,8,34,4,85-60,2-10
U2022_027,TRN-PRS,3,REGULAR SEASON,U2022,TRN,PRS,4,6,20,14,16,13,21,14,15,33,6,5,16,5,9,1,6,0,25,2,16,3,63,23,66,25,9,2,5-7,4,14-7,11,12,23-27,15,23-38,7,18,4,31,14-7,58-76
U2022_028,CAN-LLI,3,REGULAR SEASON,U2022,CAN,LLI,4,6,28,18,11,13,20,13,9,17,5,12,15,5,3,5,5,3,9,13,10,3,41,46,51,18,8,19,40-32,21,48-32,7,5,12-6,7,12-13,28,1,33,7,74-46,12-13
U2022_029,BUD-PAT,3,REGULAR SEASON,U2022,BUD,PAT,11,12,10,21,17,7,32,10,11,28,11,3,8,7,5,3,4,4,10,4,9,5,65,30,63,26,11,15,37-31,18,48-31,8,33,73-57,36,73-65,20,2,27,40,67-47,79-81
U2022_030,HAM-WRO,3,REGULAR SEASON,U2022,HAM,WRO,11,11,26,22,24,12,24,13,17,31,10,4,16,5,9,3,5,0,11,6,14,2,50,37,67,16,10,10,18-19,13,28-19,17,20,52-33,25,52-50,19,5,18,3,45-26,4-9
