game_id,game,date,time,round,phase,season_code,score_a,score_b,team_a,team_b,team_id_a,team_id_b,coach_a,coach_b,game_time,remaining_partial_time,referee_1,referee_2,referee_3,stadium,capacity,w_id,fouls_a,fouls_b,timeouts_a,timeouts_b,score_quarter_1_a,score_quarter_2_a,score_quarter_3_a,score_quarter_4_a,score_quarter_1_b,score_quarter_2_b,score_quarter_3_b,score_quarter_4_b,score_extra_time_1_a,score_extra_time_2_a,score_extra_time_3_a,score_extra_time_1_b,score_extra_time_2_b,score_extra_time_3_b
U2022_001,LJU-BBU,2022-10-12,20:00:00,1,REGULAR SEASON,U2022,73,81,CEDEVITA OLIMPIJA LJUBLJANA,FRUTTI EXTRA BURSASPOR,LJU,BBU,"GOLEMAC, JURICA","ALIMPIJEVIC, DUSAN",40:00,00:00,"BISSANG, JOSEPH","ALIAGA, JORDI","PEER, ADAR",ARENA STOZICE,3000,80,23,21,5,4,13,31,52,73,15,34,58,81,,,,,,
U2022_002,JOV-BRE,2022-10-11,20:45:00,1,REGULAR SEASON,U2022,80,63,JOVENTUT BADALONA,GERMANI BRESCIA,JOV,BRE,"DURAN, CARLES","MAGRO, ALESSANDRO",40:00,00:00,"MOGULKOC, EMIN","OBRKNEZEVIC, UROS","KONSTANTINOVS, KRISTAPS",PALAU OLIMPIC DE BADALONA,3856,80,19,18,2,4,23,42,53,80,22,37,49,63,,,,,,
U2022_003,PMT-LKB,2022-10-12,18:00:00,1,REGULAR SEASON,U2022,82,71,PROMETEY SLOBOZHANSKE,7BET-LIETKABELIS PANEVEZYS,PMT,LKB,"GINZBURG, RONEN","CANAK, NENAD",40:00,00:00,"KOWALSKI, MARCIN","HALLIKO, AARE","VAN DEN BROECK, NICK",ARENA RIGA,0,80,25,19,4,5,22,43,59,82,17,31,53,71,,,,,,
U2022_004,ULM-VNC,2022-10-11,19:15:00,1,REGULAR SEASON,U2022,81,80,RATIOPHARM ULM,UMANA REYER VENICE,ULM,VNC,"GAVEL, ANTON","DE RAFFAELE, WALTER",40:00,00:00,"HORDOV, TOMISLAV","KOLJENSIC, MILOS","POROBIC, DRAGAN",RATIOPHARM ARENA	,2341,80,19,25,5,5,21,40,58,81,16,42,56,80,,,,,,
U2022_005,BOU-CLU,2022-10-12,19:30:00,1,REGULAR SEASON,U2022,88,85,MINCIDELICE JL BOURG EN BRESSE,U-BT CLUJ-NAPOCA,BOU,CLU,"FAUTHOUX, FREDERIC","SILVASAN, MIHAI",40:00,00:00,"RADOVIC, SRETEN","RACYS, SAULIUS","BAENA, ALBERTO",EKINOX,0,80,21,21,4,5,18,37,62,88,14,32,51,85,,,,,,
U2022_006,TTK-PRS,2022-10-11,19:00:00,1,REGULAR SEASON,U2022,75,90,TURK TELEKOM ANKARA,PARIS BASKETBALL,TTK,PRS,"CAN, ERDEM","WEAVER, WILL",40:00,00:00,"JOVCIC, MILIVOJE","PEREZ, EMILIO","CLIVAZ, SEBASTIEN",ANKARA SPOR SALONU,0,80,16,15,4,3,21,42,59,75,10,38,59,90,,,,,,
U2022_007,HTA-LLI,2022-10-11,19:00:00,1,REGULAR SEASON,U2022,76,59,HAPOEL TEL AVIV,LONDON LIONS,HTA,LLI,"FRANCO, DANNY","RYAN MICHAEL, SCHMIDT",40:00,00:00,"LEZCANO, LEANDRO","MAJKIC, MARIO","TSAROUCHA, VASILIKI",SHLOMO GROUP ARENA,3000,80,16,16,3,5,24,41,58,76,13,28,46,59,,,,,,
U2022_008,TRN-PAT,2022-10-12,20:00:00,1,REGULAR SEASON,U2022,76,89,DOLOMITI ENERGIA TRENTO,PROMITHEAS PATRAS,TRN,PAT,"MOLIN, EMANUELE","GIATRAS, MAKIS",40:00,00:00,"VYKLICKY, ROBERT","UDYANSKYY, EDUARD","HADZIC, DENIS",BLM GROUP ARENA,1373,80,18,15,3,3,13,29,55,76,20,43,69,89,,,,,,
U2022_009,CAN-WRO,2022-10-12,21:00:00,1,REGULAR SEASON,U2022,92,81,GRAN CANARIA,SLASK WROCLAW,CAN,WRO,"LAKOVIC, JAKA","URLEP, ANDREJ",40:00,00:00,"PETEK, SASO","GIOVANNETTI, GUIDO","BISSUEL, THOMAS",GRAN CANARIA ARENA,2916,80,30,22,3,5,20,40,64,92,24,41,64,81,,,,,,
U2022_010,BUD-HAM,2022-10-12,19:00:00,1,REGULAR SEASON,U2022,66,73,BUDUCNOST VOLI PODGORICA,VEOLIA TOWERS HAMBURG,BUD,HAM,"JOVANOVIC, VLADA","KORNER, RAOUL",40:00,00:00,"FOUFIS, IOANNIS","PEERANDI, RAIN","CELIK, HUSEYIN",MORACA,1480,80,19,19,5,2,23,37,55,66,24,47,63,73,,,,,,
U2022_011,CLU-LJU,2022-10-19,18:30:00,2,REGULAR SEASON,U2022,94,76,U-BT CLUJ-NAPOCA,CEDEVITA OLIMPIJA LJUBLJANA,CLU,LJU,"SILVASAN, MIHAI","GOLEMAC, JURICA",40:00,00:00,"JIMENEZ, BENJAMIN","KOWALSKI, MARCIN","BITTNER, STEVE",BT-Arena,5062,80,26,26,4,5,28,48,68,94,17,31,53,76,,,,,,
