game_play_id,game_id,game,round,phase,season_code,quarter,type,number_of_play,team_id,player_id,play_type,player,team,dorsal,minute,marker_time,points_a,points_b,comment,play_info
U2022_001_023,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,23,,,BP,,,,1,,,,,Begin Period
U2022_001_025,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,25,LJU,P004222,2FGA,"OMIC, ALEN",Cedevita Olimpija Ljubljana,24,1,09:44,,,,Missed Two Pointer (0/1 -  0 pt)
U2022_001_026,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,26,BBU,P007948,D,"AUGUSTE, ZACH",Frutti Extra Bursaspor,11,1,09:44,,,,Def Rebound (1)
U2022_001_027,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,27,BBU,P010427,2FGA,"DUDZINSKI, DAVID",Frutti Extra Bursaspor,23,1,09:28,,,,Missed Two Pointer (0/1 -  0 pt)
U2022_001_028,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,28,BBU,,O,,Frutti Extra Bursaspor,,1,09:28,,,,Off Rebound (1)
U2022_001_029,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,29,BBU,P007929,2FGM,"BITIM, ONURALP",Frutti Extra Bursaspor,10,1,09:26,0,2,,Two Pointer (1/1 -  2 pt)
U2022_001_030,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,30,BBU,P008945,AS,"NEEDHAM, DEREK",Frutti Extra Bursaspor,5,1,09:26,,,,Assist (1)
U2022_001_031,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,31,LJU,P007872,3FGA,"ADAMS, JOSH",Cedevita Olimpija Ljubljana,14,1,09:18,,,,Missed Three Pointer (0/1 -  0 pt)
U2022_001_032,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,32,BBU,P008945,D,"NEEDHAM, DEREK",Frutti Extra Bursaspor,5,1,09:17,,,,Def Rebound (1)
U2022_001_033,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,33,BBU,P010427,2FGA,"DUDZINSKI, DAVID",Frutti Extra Bursaspor,23,1,09:15,,,,Missed Two Pointer (0/2 -  0 pt)
U2022_001_034,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,34,BBU,P007948,O,"AUGUSTE, ZACH",Frutti Extra Bursaspor,11,1,09:13,,,,Off Rebound (1)
U2022_001_035,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,35,BBU,P007929,3FGA,"BITIM, ONURALP",Frutti Extra Bursaspor,10,1,09:11,,,,Missed Three Pointer (0/1 -  2 pt)
U2022_001_036,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,36,LJU,P004222,D,"OMIC, ALEN",Cedevita Olimpija Ljubljana,24,1,09:09,,,,Def Rebound (1)
U2022_001_037,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,37,LJU,P010551,3FGA,"JEREMIC, MARKO",Cedevita Olimpija Ljubljana,6,1,09:07,,,,Missed Three Pointer (0/1 -  0 pt)
U2022_001_038,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,38,BBU,P007948,D,"AUGUSTE, ZACH",Frutti Extra Bursaspor,11,1,09:06,,,,Def Rebound (2)
U2022_001_039,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,39,LJU,P010551,CM,"JEREMIC, MARKO",Cedevita Olimpija Ljubljana,6,1,09:05,,,,Foul (1)
U2022_001_040,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,40,BBU,P007929,RV,"BITIM, ONURALP",Frutti Extra Bursaspor,10,1,09:03,,,,Foul Drawn (1)
U2022_001_041,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,41,BBU,P008945,2FGM,"NEEDHAM, DEREK",Frutti Extra Bursaspor,5,1,09:01,0,4,,Two Pointer (1/1 -  2 pt)
U2022_001_044,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,44,BBU,P009565,CM,"CLEMMONS, ANTHONY",Frutti Extra Bursaspor,99,3,07:41,,,,Foul (1)
U2022_001_045,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,45,LJU,P007872,RV,"ADAMS, JOSH",Cedevita Olimpija Ljubljana,14,3,07:41,,,,Foul Drawn (1)
U2022_001_046,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,46,LJU,P004222,2FGM,"OMIC, ALEN",Cedevita Olimpija Ljubljana,24,3,07:38,2,4,,Two Pointer (1/2 -  2 pt)
U2022_001_047,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,47,LJU,P011281,AS,"FERRELL, YOGI",Cedevita Olimpija Ljubljana,1,3,07:38,,,,Assist (1)
U2022_001_048,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,48,BBU,P009565,3FGA,"CLEMMONS, ANTHONY",Frutti Extra Bursaspor,99,3,07:19,,,,Missed Three Pointer (0/1 -  0 pt)
U2022_001_049,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,49,BBU,P010427,O,"DUDZINSKI, DAVID",Frutti Extra Bursaspor,23,3,07:19,,,,Off Rebound (1)
U2022_001_050,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,50,BBU,P007948,3FGM,"AUGUSTE, ZACH",Frutti Extra Bursaspor,11,3,07:11,2,7,,Three Pointer (1/1 -  3 pt)
U2022_001_051,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,51,BBU,P010427,AS,"DUDZINSKI, DAVID",Frutti Extra Bursaspor,23,3,07:11,,,,Assist (1)
U2022_001_053,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,53,LJU,P004469,2FGA,"ALIBEGOVIC, AMAR",Cedevita Olimpija Ljubljana,7,4,06:52,,,,Missed Two Pointer (0/1 -  0 pt)
U2022_001_056,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,56,BBU,P008945,D,"NEEDHAM, DEREK",Frutti Extra Bursaspor,5,4,06:52,,,,Def Rebound (2)
U2022_001_057,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,57,BBU,P009565,3FGA,"CLEMMONS, ANTHONY",Frutti Extra Bursaspor,99,4,06:34,,,,Missed Three Pointer (0/2 -  0 pt)
U2022_001_058,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,58,LJU,P011281,D,"FERRELL, YOGI",Cedevita Olimpija Ljubljana,1,4,06:34,,,,Def Rebound (1)
U2022_001_059,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,59,LJU,P011281,3FGA,"FERRELL, YOGI",Cedevita Olimpija Ljubljana,1,4,06:26,,,,Missed Three Pointer (0/1 -  0 pt)
U2022_001_060,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,60,BBU,P007929,D,"BITIM, ONURALP",Frutti Extra Bursaspor,10,4,06:23,,,,Def Rebound (1)
U2022_001_061,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,q1,0,61,LJU,P004469,CM,"ALIBEGOVIC, AMAR",Cedevita Olimpija Ljubljana,7,4,06:06,,,,Foul (1)
