season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2022_P011271_TTK,U2022,P011271,"ACAR, BATUHAN",TTK,1.0,0.0,6.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022_P011902_WRO,U2022,P011902,"ADAMCZAK, MIKOLAJ",WRO,3.0,0.0,29.6,4,2,4,0,0,0,0,5,5,10,0,0,0,1,0,2,0,11,9.88,1.33,0.67,1.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.67,3.33,0.0,0.0,0.0,0.33,0.0,0.67,0.0,3.67
2022_P007872_LJU,U2022,P007872,"ADAMS, JOSH",LJU,3.0,3.0,84.0,46,8,20,5,20,15,21,2,13,15,13,1,7,0,3,8,17,41,28.01,15.33,2.67,6.67,0.4,1.67,6.67,0.25,5.0,7.0,0.714,0.67,4.33,5.0,4.33,0.33,2.33,0.0,1.0,2.67,5.67,13.67
2022_P011944_PMT,U2022,P011944,"AGADA, CALEB",PMT,3.0,1.0,72.9,36,12,23,2,10,6,11,3,2,5,14,6,7,1,3,6,9,31,24.29,12.0,4.0,7.67,0.522,0.67,3.33,0.2,2.0,3.67,0.545,1.0,0.67,1.67,4.67,2.0,2.33,0.33,1.0,2.0,3.0,10.33
2022_P011816_BRE,U2022,P011816,"AKELE, NICOLA",BRE,3.0,0.0,42.6,9,3,3,1,3,0,0,4,6,10,2,0,1,1,0,6,0,13,14.22,3.0,1.0,1.0,1.0,0.33,1.0,0.333,0.0,0.0,0.0,1.33,2.0,3.33,0.67,0.0,0.33,0.33,0.0,2.0,0.0,4.33
2022_P011622_BBU,U2022,P011622,"AKIN, BERK",BBU,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_P006205_BBU,U2022,P006205,"AL, OMER UTKU",BBU,3.0,0.0,59.0,10,2,3,2,6,0,0,1,5,6,6,1,2,0,0,8,4,12,19.68,3.33,0.67,1.0,0.667,0.67,2.0,0.333,0.0,0.0,0.0,0.33,1.67,2.0,2.0,0.33,0.67,0.0,0.0,2.67,1.33,4.0
2022_P003425_CAN,U2022,P003425,"ALBICY, ANDREW",CAN,1.0,0.0,20.0,8,0,1,2,2,2,2,0,2,2,5,3,2,0,0,1,4,18,19.97,8.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,5.0,3.0,2.0,0.0,0.0,1.0,4.0,18.0
2022_P004469_LJU,U2022,P004469,"ALIBEGOVIC, AMAR",LJU,3.0,2.0,63.5,24,7,17,2,6,4,7,2,6,8,1,1,8,1,0,13,6,3,21.18,8.0,2.33,5.67,0.412,0.67,2.0,0.333,1.33,2.33,0.571,0.67,2.0,2.67,0.33,0.33,2.67,0.33,0.0,4.33,2.0,1.0
2022_P011924_PRS,U2022,P011924,"ALLMAN, KYLE",PRS,3.0,3.0,98.8,60,12,22,7,20,15,20,1,6,7,11,5,10,0,3,4,14,52,32.94,20.0,4.0,7.33,0.545,2.33,6.67,0.35,5.0,6.67,0.75,0.33,2.0,2.33,3.67,1.67,3.33,0.0,1.0,1.33,4.67,17.33
