game_point_id,game_id,game,round,phase,season_code,number_of_play,team_id,player_id,player,action_id,action,points,coord_x,coord_y,zone,fastbreak,second_chance,points_off_turnover,minute,console,points_a,points_b,timestamp
U2022_001_025,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,25,LJU,P004222,"OMIC, ALEN",2FGA,Missed Two Pointer,0,-37,363,D,0,0,0,1,09:44,0,0,2022-10-12 18:01:52
U2022_001_027,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,27,BBU,P010427,"DUDZINSKI, DAVID",2FGA,Missed Two Pointer,0,-376,106,D,0,0,0,1,09:28,0,0,2022-10-12 18:02:14
U2022_001_029,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,29,BBU,P007929,"BITIM, ONURALP",2FGM,Two Pointer,2,69,43,C,0,1,0,1,09:26,0,2,2022-10-12 18:02:28
U2022_001_031,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,31,LJU,P007872,"ADAMS, JOSH",3FGA,Missed Three Pointer,0,414,621,I,0,0,0,1,09:18,0,2,2022-10-12 18:02:45
U2022_001_033,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,33,BBU,P010427,"DUDZINSKI, DAVID",2FGA,Missed Two Pointer,0,-426,100,D,0,0,0,1,09:15,0,2,2022-10-12 18:03:10
U2022_001_035,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,35,BBU,P007929,"BITIM, ONURALP",3FGA,Missed Three Pointer,0,138,765,I,0,0,0,1,09:11,0,2,2022-10-12 18:03:18
U2022_001_037,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,37,LJU,P010551,"JEREMIC, MARKO",3FGA,Missed Three Pointer,0,489,520,I,0,0,0,1,09:07,0,2,2022-10-12 18:03:38
U2022_001_041,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,41,BBU,P008945,"NEEDHAM, DEREK",2FGM,Two Pointer,2,-112,18,B,0,0,0,1,09:01,0,4,2022-10-12 18:04:22
U2022_001_046,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,46,LJU,P004222,"OMIC, ALEN",2FGM,Two Pointer,2,0,43,B,0,0,0,3,07:38,2,4,2022-10-12 18:05:03
U2022_001_048,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,48,BBU,P009565,"CLEMMONS, ANTHONY",3FGA,Missed Three Pointer,0,677,56,I,0,0,0,3,07:19,2,4,2022-10-12 18:05:19
U2022_001_050,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,50,BBU,P007948,"AUGUSTE, ZACH",3FGM,Three Pointer,3,-50,740,H,0,1,0,3,07:11,2,7,2022-10-12 18:05:25
U2022_001_053,U2022_001,LJU-BBU,1,REGULAR SEASON,U2022,53,LJU,P004469,"ALIBEGOVIC, AMAR",2FGA,Missed Two Pointer,0,-56,150,B,0,0,0,4,06:52,2,7,2022-10-12 18:05:42
