game_player_id,game_id,game,round,phase,season_code,player_id,is_starter,is_playing,team_id,dorsal,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation
E2022_001_P011209,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P011209,0.0,1.0,PAN,0,"KALAITZAKIS, PANAGIOTIS",02:15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
E2022_001_P011225,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P011225,1.0,1.0,PAN,5,"LEE, PARIS",26:10,12,1,2,3,9,1,2,0,3,3,3,2,0,0,0,1,2,13
E2022_001_P005844,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P005844,1.0,1.0,PAN,6,"PAPAGIANNIS, GEORGIOS",22:43,6,3,9,0,0,0,0,1,4,5,0,1,1,0,1,2,0,2
E2022_001_P003240,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P003240,0.0,1.0,PAN,7,"BOCHORIDIS, ELEFTHERIOS",14:48,5,1,6,1,2,0,1,2,4,6,1,0,3,1,3,0,2,2
E2022_001_P009006,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P009006,1.0,1.0,PAN,8,"WILLIAMS, DERRICK",33:01,15,2,3,2,4,5,10,0,4,4,1,1,0,0,1,1,6,17
E2022_001_P011248,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P011248,0.0,1.0,PAN,12,"ANDREWS, ANDREW",13:24,8,1,2,1,2,3,3,0,0,0,2,0,1,0,0,1,3,9
E2022_001_P006586,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P006586,1.0,1.0,PAN,16,"KALAITZAKIS, GEORGIOS",17:32,2,1,3,0,1,0,0,0,2,2,1,5,1,0,1,4,1,2
E2022_001_P011396,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P011396,0.0,0.0,PAN,33,"CHOUGKAZ, NIKOS",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2022_001_P004172,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P004172,0.0,1.0,PAN,37,"PONITKA, MATEUSZ",24:28,5,0,2,1,1,2,4,1,5,6,4,0,1,0,0,3,4,11
E2022_001_P002328,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P002328,1.0,1.0,PAN,40,"GRIGONIS, MARIUS",28:22,5,1,5,1,9,0,0,0,0,0,1,1,1,0,0,3,1,-8
E2022_001_P008084,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P008084,0.0,0.0,PAN,72,"MANTZOUKAS, ELEFTHERIOS",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2022_001_P003120,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,P003120,0.0,1.0,PAN,77,"GUDAITIS, ARTURAS",17:17,10,5,8,0,0,0,1,3,0,3,2,0,0,0,1,1,3,12
