game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,PAN,MAD,15,9,17,9,6,11,23,11,11,38,3,5,13,6,10,0,4,1,6,9,6,7,40,28,50,21,8,34,55-62,36,63-62,7,28,48-45,29,48-52,3,8,13,8,26-23,13-21
E2022_002,ASV-MIL,1,REGULAR SEASON,E2022,ASV,MIL,4,6,9,19,4,10,24,11,7,28,15,2,8,9,4,4,4,3,13,1,10,7,49,13,53,16,7,1,2-2,3,9-2,9,19,44-36,21,44-45,15,7,7,28,20-5,49-56
E2022_003,TEL-ZAL,1,REGULAR SEASON,E2022,TEL,ZAL,10,4,11,13,11,23,19,17,7,26,6,1,12,3,7,3,2,1,17,4,4,4,64,20,46,37,11,21,46-50,24,57-50,8,26,65-53,28,65-61,12,7,26,16,65-53,35-42
E2022_004,MUN-ULK,1,REGULAR SEASON,E2022,MUN,ULK,5,13,7,27,5,13,22,10,10,20,12,7,5,3,2,2,4,4,5,11,14,6,16,46,47,27,8,8,8-19,10,16-19,9,25,44-48,29,44-57,0,20,0,37,,54-74
E2022_005,PAM-BAS,1,REGULAR SEASON,E2022,PAM,BAS,8,8,8,13,7,5,32,7,8,32,2,11,5,4,2,2,4,2,2,8,16,8,27,44,68,13,8,9,15-19,11,23-19,14,15,33-27,21,33-41,9,13,13,39,31-22,65-78
E2022_006,IST-RED,1,REGULAR SEASON,E2022,IST,RED,10,4,16,2,10,3,23,10,9,32,1,3,6,9,3,4,1,0,8,4,10,8,42,30,30,29,8,31,56-52,34,64-52,5,1,0-0,3,0-5,15,5,39,3,72-57,0-5
E2022_007,BER-PAR,1,REGULAR SEASON,E2022,BER,PAR,2,8,12,22,24,8,26,7,14,17,7,6,3,5,2,3,4,4,19,12,10,4,54,46,40,44,14,8,24-18,12,38-18,9,14,46-20,16,46-29,26,0,14,0,46-20,
E2022_008,BAR-OLY,1,REGULAR SEASON,E2022,BAR,OLY,6,2,13,18,5,13,24,8,7,29,9,3,10,4,4,1,4,3,10,2,6,11,48,22,36,44,8,31,49-60,33,57-60,10,28,47-46,30,47-56,6,11,8,31,16-10,49-60
E2022_009,VIR-MCO,1,REGULAR SEASON,E2022,VIR,MCO,0,0,8,17,11,21,20,13,16,24,10,4,5,4,3,2,5,2,5,8,12,1,52,14,44,39,6,29,45-63,33,51-63,11,10,18-14,12,18-25,4,19,8,39,16-12,64-83
E2022_010,MCO-IST,2,REGULAR SEASON,E2022,MCO,IST,17,3,16,6,11,12,24,9,9,29,3,4,11,5,6,4,1,3,9,15,18,2,46,49,80,12,8,13,19-22,15,27-22,7,4,6-8,6,6-15,7,9,28,6,57-50,6-15
