game_id,game,date,time,round,phase,season_code,score_a,score_b,team_a,team_b,team_id_a,team_id_b,coach_a,coach_b,game_time,remaining_partial_time,referee_1,referee_2,referee_3,stadium,capacity,w_id,fouls_a,fouls_b,timeouts_a,timeouts_b,score_quarter_1_a,score_quarter_2_a,score_quarter_3_a,score_quarter_4_a,score_quarter_1_b,score_quarter_2_b,score_quarter_3_b,score_quarter_4_b,score_extra_time_1_a,score_extra_time_2_a,score_extra_time_3_a,score_extra_time_1_b,score_extra_time_2_b,score_extra_time_3_b
2022_001,PAN-MAD,2022-10-06,21:00:00,1,REGULAR SEASON,E2022,68,71,PANATHINAIKOS ATHENS,REAL MADRID,PAN,MAD,"RADONJIC, DEJAN","MATEO DIEZ, JESUS",40:00,00:00,"BOLTAUZER, MATEJ","PATERNICO, CARMELO","MOGULKOC, EMIN",OAKA Altion,0,80,16,22,5,3,22,37,51,68,23,38,54,71,,,,,,
2022_002,ASV-MIL,2022-10-06,20:00:00,1,REGULAR SEASON,E2022,62,69,LDLC ASVEL VILLEURBANNE,EA7 EMPORIO ARMANI MILAN,ASV,MIL,"PARKER, TJ","MESSINA, ETTORE",40:00,00:00,"LOTTERMOSER, ROBERT","PEREZ, EMILIO","CICI, GENTIAN",ASTROBALLE,5460,80,18,18,4,4,23,44,54,62,14,41,56,69,,,,,,
2022_003,TEL-ZAL,2022-10-06,20:05:00,1,REGULAR SEASON,E2022,84,83,MACCABI PLAYTIKA TEL AVIV,ZALGIRIS KAUNAS,TEL,ZAL,"KATTASH, ODED","MAKSVYTIS, KAZYS",40:00,00:00,"PUKL,SASA","KARDUM, LUKA","BOUBERT, MAXIME",MENORA MIVTACHIM ARENA,10594,80,19,16,3,3,30,46,71,84,27,48,65,83,,,,,,
2022_004,MUN-ULK,2022-10-06,20:30:00,1,REGULAR SEASON,E2022,62,74,FC BAYERN MUNICH,FENERBAHCE BEKO ISTANBUL,MUN,ULK,"TRINCHIERI, ANDREA","ITOUDIS, DIMITRIS",40:00,00:00,"GARCIA, JUAN CARLOS","HORDOV, TOMISLAV","NIKOLIC, UROS",AUDI DOME,6500,80,18,14,4,2,19,34,46,62,21,40,59,74,,,,,,
2022_005,PAM-BAS,2022-10-06,18:30:00,1,REGULAR SEASON,E2022,71,81,VALENCIA BASKET,CAZOO BASKONIA VITORIA-GASTEIZ,PAM,BAS,"MUMBRU, ALEX","PENARROYA, JOAN",40:00,00:00,"RYZHYK, BORYS","BELOSEVIC, ILIJA","KOROMILAS, ELIAS",LA FONTETA,6426,80,18,26,3,2,21,33,56,71,19,39,59,81,,,,,,
2022_006,IST-RED,2022-10-07,19:30:00,1,REGULAR SEASON,E2022,72,59,ANADOLU EFES ISTANBUL,CRVENA ZVEZDA MTS BELGRADE,IST,RED,"ATAMAN, ERGIN","JOVANOVIC, VLADIMIR",40:00,00:00,"JIMENEZ, BENJAMIN","TRAWICKI, TOMASZ","SUKYS, ARTURAS",SINAN ERDEM SPORTS HALL,14648,80,17,18,2,3,17,35,56,72,14,34,50,59,,,,,,
2022_007,BER-PAR,2022-10-07,20:00:00,1,REGULAR SEASON,E2022,100,84,ALBA BERLIN,PARTIZAN MOZZART BET BELGRADE,BER,PAR,"GONZALEZ, ISRAEL","OBRADOVIC, ZELJKO",40:00,00:00,"LATISEVS, OLEGS","PEERANDI, RAIN","GIOVANNETTI, GUIDO",MERCEDES-BENZ ARENA,11173,80,21,16,2,4,33,61,77,100,18,43,61,84,,,,,,
2022_008,BAR-OLY,2022-10-07,20:30:00,1,REGULAR SEASON,E2022,70,80,FC BARCELONA,OLYMPIACOS PIRAEUS,BAR,OLY,"JASIKEVICIUS, SARAS","BARTZOKAS, GEORGIOS",40:00,00:00,"RADOVIC, SRETEN","JAVOR, DAMIR","DIFALLAH, MEHDI",PALAU BLAUGRANA,5752,80,23,19,5,2,16,28,49,70,13,34,57,80,,,,,,
2022_009,VIR-MCO,2022-10-07,20:30:00,1,REGULAR SEASON,E2022,66,83,VIRTUS SEGAFREDO BOLOGNA,AS MONACO,VIR,MCO,"SCARIOLO, SERGIO","OBRADOVIC, SASA",40:00,00:00,"HIERREZUELO, DANIEL","ZAMOJSKI, JAKUB","BALAK, AMIT",PALADOZZA,0,80,17,21,3,2,18,34,45,66,18,40,63,83,,,,,,
2022_010,MCO-IST,2022-10-13,19:00:00,2,REGULAR SEASON,E2022,95,92,AS MONACO,ANADOLU EFES ISTANBUL,MCO,IST,"OBRADOVIC, SASA","ATAMAN, ERGIN",45:00,00:00,"JAVOR, DAMIR","PERUGA, CARLOS","KOROMILAS, ELIAS",SALLE GASTON MEDECIN,3887,90,22,23,4,6,12,36,58,82,20,35,60,82,95,,,92,,
