game_play_id,game_id,game,round,phase,season_code,quarter,type,number_of_play,team_id,player_id,play_type,player,team,dorsal,minute,marker_time,points_a,points_b,comment,play_info
E2022_001_002,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,2,,,BP,,,,1,,,,,Begin Period
E2022_001_003,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,3,MAD,,JB,,Real Madrid,,1,09:59,,,,
E2022_001_004,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,4,MAD,P010357,2FGA,"YABUSELE, GUERSCHON",Real Madrid,28,1,09:41,,,,Missed Two Pointer (0/1 -  0 pt)
E2022_001_005,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,5,PAN,P011225,D,"LEE, PARIS",Panathinaikos Athens,5,1,09:38,,,,Def Rebound (1)
E2022_001_006,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,6,MAD,P001392,CM,"CAUSEUR, FABIEN",Real Madrid,1,1,09:34,,,,Foul (1)
E2022_001_007,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,7,PAN,P009006,RV,"WILLIAMS, DERRICK",Panathinaikos Athens,8,1,09:34,,,,Foul Drawn (1)
E2022_001_008,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,8,PAN,P009006,FTM,"WILLIAMS, DERRICK",Panathinaikos Athens,8,1,09:34,1,0,,Free Throw In (1/1 -  1 pt)
E2022_001_009,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,9,PAN,P009006,FTM,"WILLIAMS, DERRICK",Panathinaikos Athens,8,1,09:34,2,0,,Free Throw In (2/2 -  2 pt)
E2022_001_010,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,10,PAN,P002328,CM,"GRIGONIS, MARIUS",Panathinaikos Athens,40,1,09:14,,,,Foul (1)
E2022_001_011,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,11,MAD,P009005,RV,"DECK, GABRIEL",Real Madrid,14,1,09:14,,,,Foul Drawn (1)
E2022_001_012,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,12,MAD,P009005,FTA,"DECK, GABRIEL",Real Madrid,14,1,09:14,,,,Missed Free Throw (0/1 -  0 pt)
E2022_001_013,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,13,MAD,P009005,FTM,"DECK, GABRIEL",Real Madrid,14,1,09:14,2,1,,Free Throw In (1/2 -  1 pt)
E2022_001_015,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,15,PAN,P002328,3FGA,"GRIGONIS, MARIUS",Panathinaikos Athens,40,2,08:58,,,,Missed Three Pointer (0/1 -  0 pt)
E2022_001_016,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,16,PAN,,O,,Panathinaikos Athens,,2,08:56,,,,Off Rebound (1)
E2022_001_017,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,17,PAN,P011225,3FGA,"LEE, PARIS",Panathinaikos Athens,5,2,08:41,,,,Missed Three Pointer (0/1 -  0 pt)
E2022_001_018,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,18,MAD,P010357,D,"YABUSELE, GUERSCHON",Real Madrid,28,2,08:39,,,,Def Rebound (1)
E2022_001_019,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,19,MAD,P010357,2FGM,"YABUSELE, GUERSCHON",Real Madrid,28,2,08:35,2,3,,Two Pointer (1/2 -  2 pt)
E2022_001_020,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,20,MAD,P006540,CM,"MUSA, DZANAN",Real Madrid,31,2,08:19,,,,Foul (1)
E2022_001_021,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,21,PAN,P011225,RV,"LEE, PARIS",Panathinaikos Athens,5,2,08:19,,,,Foul Drawn (1)
E2022_001_022,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,22,PAN,P011225,FTA,"LEE, PARIS",Panathinaikos Athens,5,2,08:19,,,,Missed Free Throw (0/1 -  0 pt)
E2022_001_023,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,23,PAN,P011225,FTM,"LEE, PARIS",Panathinaikos Athens,5,2,08:19,3,3,,Free Throw In (1/2 -  1 pt)
E2022_001_024,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,24,PAN,P006586,CM,"KALAITZAKIS, GEORGIOS",Panathinaikos Athens,16,2,08:11,,,,Foul (1)
E2022_001_025,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,25,MAD,P009005,RV,"DECK, GABRIEL",Real Madrid,14,2,08:11,,,,Foul Drawn (2)
E2022_001_026,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,26,MAD,P006540,3FGA,"MUSA, DZANAN",Real Madrid,31,2,08:01,,,,Missed Three Pointer (0/1 -  0 pt)
E2022_001_028,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,28,MAD,P005791,O,"TAVARES, WALTER",Real Madrid,22,3,08:00,,,,Off Rebound (1)
E2022_001_029,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,q1,0,29,MAD,P009005,OF,"DECK, GABRIEL",Real Madrid,14,3,07:51,,,,Offensive Foul (1)
