season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
E2022_P003733_MAD,E2022,P003733,"ABALDE, ALBERTO",MAD,2.0,0.0,13.5,0,0,0,0,3,0,0,1,0,1,1,1,1,0,0,3,0,-4,6.73,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.5,0.0,-2.0
E2022_P003478_BAR,E2022,P003478,"ABRINES, ALEX",BAR,4.0,0.0,67.8,25,2,4,6,12,3,4,1,7,8,5,4,1,1,0,5,6,34,16.96,6.25,0.5,1.0,0.5,1.5,3.0,0.5,0.75,1.0,0.75,0.25,1.75,2.0,1.25,1.0,0.25,0.25,0.0,1.25,1.5,8.5
E2022_P012056_TEL,E2022,P012056,"ADAMS, JALEN",TEL,2.0,0.0,19.7,5,0,1,1,4,2,2,0,2,2,2,1,1,0,0,2,1,4,9.87,2.5,0.0,0.5,0.0,0.5,2.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,2.0
E2022_P011963_RED,E2022,P011963,"ADAMS, JAYLEN",RED,3.0,2.0,58.4,17,3,11,2,9,5,5,0,6,6,8,2,4,1,2,10,3,6,19.46,5.67,1.0,3.67,0.273,0.67,3.0,0.222,1.67,1.67,1.0,0.0,2.0,2.0,2.67,0.67,1.33,0.33,0.67,3.33,1.0,2.0
E2022_P004056_ULK,E2022,P004056,"AKPINAR, ISMET",ULK,1.0,0.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0
E2022_P011973_PAM,E2022,P011973,"ALEXANDER, KYLE",PAM,4.0,2.0,62.1,19,9,14,0,1,1,4,8,9,17,2,2,3,0,0,7,5,26,15.52,4.75,2.25,3.5,0.643,0.0,0.25,0.0,0.25,1.0,0.25,2.0,2.25,4.25,0.5,0.5,0.75,0.0,0.0,1.75,1.25,6.5
E2022_P005059_MIL,E2022,P005059,"ALVITI, DAVIDE",MIL,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2022_P000956_PAR,E2022,P000956,"ANDJUSIC, DANILO",PAR,3.0,0.0,48.7,23,3,4,4,7,5,7,1,1,2,5,2,6,1,0,3,6,24,16.24,7.67,1.0,1.33,0.75,1.33,2.33,0.571,1.67,2.33,0.714,0.33,0.33,0.67,1.67,0.67,2.0,0.33,0.0,1.0,2.0,8.0
E2022_P011248_PAN,E2022,P011248,"ANDREWS, ANDREW",PAN,3.0,1.0,65.5,29,5,11,4,7,7,7,0,4,4,6,3,7,0,0,7,12,31,21.82,9.67,1.67,3.67,0.455,1.33,2.33,0.571,2.33,2.33,1.0,0.0,1.33,1.33,2.0,1.0,2.33,0.0,0.0,2.33,4.0,10.33
E2022_P005348_IST,E2022,P005348,"ARNA, EGEHAN",IST,2.0,0.0,8.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,-3,4.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-1.5
E2022_P004655_VIR,E2022,P004655,"BAKO, ISMAEL",VIR,3.0,0.0,33.9,14,6,12,0,0,2,2,6,4,10,1,0,3,0,0,9,2,9,11.31,4.67,2.0,4.0,0.5,0.0,0.0,0.0,0.67,0.67,1.0,2.0,1.33,3.33,0.33,0.0,1.0,0.0,0.0,3.0,0.67,3.0
E2022_P003521_IST,E2022,P003521,"BALBAY, DOGUS",IST,2.0,0.0,2.5,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
E2022_P009863_TEL,E2022,P009863,"BALDWIN IV, WADE",TEL,4.0,4.0,112.5,62,13,28,10,27,6,7,2,15,17,17,6,8,1,1,14,14,61,28.12,15.5,3.25,7.0,0.464,2.5,6.75,0.37,1.5,1.75,0.857,0.5,3.75,4.25,4.25,1.5,2.0,0.25,0.25,3.5,3.5,15.25
E2022_P005775_MIL,E2022,P005775,"BARON, BILLY",MIL,3.0,1.0,70.7,36,3,5,9,11,3,3,1,8,9,10,1,4,0,1,6,5,46,23.58,12.0,1.0,1.67,0.6,3.0,3.67,0.818,1.0,1.0,1.0,0.33,2.67,3.0,3.33,0.33,1.33,0.0,0.33,2.0,1.67,15.33
