game_point_id,game_id,game,round,phase,season_code,number_of_play,team_id,player_id,player,action_id,action,points,coord_x,coord_y,zone,fastbreak,second_chance,points_off_turnover,minute,console,points_a,points_b,timestamp
E2022_001_004,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,4,MAD,P010357,"YABUSELE, GUERSCHON",2FGA,Missed Two Pointer,0,-100,163,B,0,0,0,1,09:41,0,0,2022-10-06 18:01:25
E2022_001_008,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,8,PAN,P009006,"WILLIAMS, DERRICK",FTM,Free Throw In,1,-1,-1,,0,0,0,1,09:34,1,0,2022-10-06 18:01:58
E2022_001_009,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,9,PAN,P009006,"WILLIAMS, DERRICK",FTM,Free Throw In,1,-1,-1,,0,0,0,1,09:34,2,0,2022-10-06 18:02:13
E2022_001_013,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,13,MAD,P009005,"DECK, GABRIEL",FTM,Free Throw In,1,-1,-1,,0,0,0,1,09:14,2,1,2022-10-06 18:03:06
E2022_001_015,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,15,PAN,P002328,"GRIGONIS, MARIUS",3FGA,Missed Three Pointer,0,363,639,I,0,0,0,2,08:58,2,1,2022-10-06 18:03:24
E2022_001_017,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,17,PAN,P011225,"LEE, PARIS",3FGA,Missed Three Pointer,0,-18,1003,H,0,0,0,2,08:41,2,1,2022-10-06 18:03:56
E2022_001_019,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,19,MAD,P010357,"YABUSELE, GUERSCHON",2FGM,Two Pointer,2,-6,18,A,1,0,0,2,08:35,2,3,2022-10-06 18:04:02
E2022_001_023,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,23,PAN,P011225,"LEE, PARIS",FTM,Free Throw In,1,-1,-1,,0,0,0,2,08:19,3,3,2022-10-06 18:04:58
E2022_001_026,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,26,MAD,P006540,"MUSA, DZANAN",3FGA,Missed Three Pointer,0,533,614,I,0,0,0,2,08:01,3,3,2022-10-06 18:05:34
E2022_001_036,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,36,PAN,P002328,"GRIGONIS, MARIUS",2FGM,Two Pointer,2,-332,407,F,0,0,1,3,07:38,5,3,2022-10-06 18:06:42
E2022_001_037,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,37,MAD,PTGB,"LLULL, SERGIO",2FGA,Missed Two Pointer,0,-301,376,F,0,0,0,3,07:24,5,3,2022-10-06 18:06:56
E2022_001_039,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,39,PAN,P011225,"LEE, PARIS",3FGA,Missed Three Pointer,0,263,740,I,0,0,0,3,07:06,5,3,2022-10-06 18:07:14
E2022_001_042,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,42,MAD,P005791,"TAVARES, WALTER",2FGM,Two Pointer,2,-43,106,B,0,0,0,4,06:56,5,5,2022-10-06 18:07:25
E2022_001_046,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,46,MAD,P005791,"TAVARES, WALTER",FTM,Free Throw In,1,-1,-1,,0,0,0,4,06:56,5,6,2022-10-06 18:07:49
E2022_001_047,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,47,PAN,P005844,"PAPAGIANNIS, GEORGIOS",2FGA,Missed Two Pointer,0,-301,439,F,0,0,0,4,06:41,5,6,2022-10-06 18:08:07
E2022_001_051,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,51,PAN,P002328,"GRIGONIS, MARIUS",2FGA,Missed Two Pointer,0,106,75,C,0,0,0,4,06:11,5,6,2022-10-06 18:08:51
E2022_001_053,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,53,PAN,P005844,"PAPAGIANNIS, GEORGIOS",2FGM,Two Pointer,2,0,37,B,0,1,1,4,06:07,7,6,2022-10-06 18:08:55
E2022_001_055,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,55,MAD,P010357,"YABUSELE, GUERSCHON",3FGA,Missed Three Pointer,0,-564,520,H,0,0,0,5,05:00,7,6,2022-10-06 18:09:03
E2022_001_057,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,57,MAD,P009005,"DECK, GABRIEL",2FGA,Missed Two Pointer,0,-69,138,B,0,0,0,5,05:52,7,6,2022-10-06 18:09:10
E2022_001_061,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,61,MAD,P006540,"MUSA, DZANAN",3FGA,Missed Three Pointer,0,514,621,I,0,0,0,5,05:41,7,6,2022-10-06 18:09:21
E2022_001_063,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,63,MAD,P010357,"YABUSELE, GUERSCHON",2FGM,Two Pointer,2,0,138,B,0,1,1,5,05:36,7,8,2022-10-06 18:09:26
E2022_001_064,E2022_001,PAN-MAD,1,REGULAR SEASON,E2022,64,PAN,P002328,"GRIGONIS, MARIUS",3FGA,Missed Three Pointer,0,-37,715,H,0,0,0,5,05:22,7,8,2022-10-06 18:09:40
