season_team_id,season_code,team_id,games_played,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
E2022_ASV,E2022,ASV,4.0,160.0,271,79,165,23,73,44,58,43,88,131,53,28,66,6,11,77,84,269,40.0,67.75,19.75,41.25,0.479,5.75,18.25,0.315,11.0,14.5,0.759,10.75,22.0,32.75,13.25,7.0,16.5,1.5,2.75,19.25,21.0,67.25
E2022_BAR,E2022,BAR,4.0,160.0,301,77,140,36,88,39,48,32,98,130,77,20,54,8,10,84,77,341,40.0,75.25,19.25,35.0,0.55,9.0,22.0,0.409,9.75,12.0,0.812,8.0,24.5,32.5,19.25,5.0,13.5,2.0,2.5,21.0,19.25,85.25
E2022_BAS,E2022,BAS,3.0,125.0,276,57,103,44,98,30,44,21,74,95,58,20,26,9,6,67,61,306,41.67,92.0,19.0,34.33,0.553,14.67,32.67,0.449,10.0,14.67,0.682,7.0,24.67,31.67,19.33,6.67,8.67,3.0,2.0,22.33,20.33,102.0
E2022_BER,E2022,BER,3.0,125.0,274,61,115,37,96,41,49,35,94,129,77,23,38,9,13,60,54,334,41.67,91.33,20.33,38.33,0.53,12.33,32.0,0.385,13.67,16.33,0.837,11.67,31.33,43.0,25.67,7.67,12.67,3.0,4.33,20.0,18.0,111.33
E2022_IST,E2022,IST,3.0,125.0,255,58,102,31,86,46,56,23,74,97,49,17,32,11,5,56,64,291,41.67,85.0,19.33,34.0,0.569,10.33,28.67,0.36,15.33,18.67,0.821,7.67,24.67,32.33,16.33,5.67,10.67,3.67,1.67,18.67,21.33,97.0
E2022_MAD,E2022,MAD,3.0,120.0,231,58,114,26,69,37,44,28,81,109,52,15,41,15,5,64,53,259,40.0,77.0,19.33,38.0,0.509,8.67,23.0,0.377,12.33,14.67,0.841,9.33,27.0,36.33,17.33,5.0,13.67,5.0,1.67,21.33,17.67,86.33
E2022_MCO,E2022,MCO,3.0,125.0,248,69,130,21,72,47,60,36,73,109,47,24,28,8,12,60,62,273,41.67,82.67,23.0,43.33,0.531,7.0,24.0,0.292,15.67,20.0,0.783,12.0,24.33,36.33,15.67,8.0,9.33,2.67,4.0,20.0,20.67,91.0
E2022_MIL,E2022,MIL,3.0,125.0,223,50,112,29,79,36,40,26,80,106,52,21,39,6,11,55,53,240,41.67,74.33,16.67,37.33,0.446,9.67,26.33,0.367,12.0,13.33,0.9,8.67,26.67,35.33,17.33,7.0,13.0,2.0,3.67,18.33,17.67,80.0
E2022_MUN,E2022,MUN,3.0,120.0,198,35,93,30,81,38,44,26,65,91,34,24,38,9,6,58,56,195,40.0,66.0,11.67,31.0,0.376,10.0,27.0,0.37,12.67,14.67,0.864,8.67,21.67,30.33,11.33,8.0,12.67,3.0,2.0,19.33,18.67,65.0
E2022_OLY,E2022,OLY,3.0,120.0,259,62,114,24,71,63,71,30,81,111,55,23,34,3,4,55,73,324,40.0,86.33,20.67,38.0,0.544,8.0,23.67,0.338,21.0,23.67,0.887,10.0,27.0,37.0,18.33,7.67,11.33,1.0,1.33,18.33,24.33,108.0
E2022_PAM,E2022,PAM,4.0,160.0,316,73,146,40,107,50,66,39,100,139,64,18,47,5,9,82,78,326,40.0,79.0,18.25,36.5,0.5,10.0,26.75,0.374,12.5,16.5,0.758,9.75,25.0,34.75,16.0,4.5,11.75,1.25,2.25,20.5,19.5,81.5
E2022_PAN,E2022,PAN,3.0,120.0,210,46,117,24,65,46,73,30,77,107,46,20,39,11,11,60,69,214,40.0,70.0,15.33,39.0,0.393,8.0,21.67,0.369,15.33,24.33,0.63,10.0,25.67,35.67,15.33,6.67,13.0,3.67,3.67,20.0,23.0,71.33
E2022_PAR,E2022,PAR,3.0,125.0,255,65,132,25,57,50,60,33,63,96,47,19,36,10,6,59,66,283,41.67,85.0,21.67,44.0,0.492,8.33,19.0,0.439,16.67,20.0,0.833,11.0,21.0,32.0,15.67,6.33,12.0,3.33,2.0,19.67,22.0,94.33
E2022_RED,E2022,RED,3.0,120.0,209,53,106,21,62,40,54,32,79,111,54,12,45,5,10,62,55,221,40.0,69.67,17.67,35.33,0.5,7.0,20.67,0.339,13.33,18.0,0.741,10.67,26.33,37.0,18.0,4.0,15.0,1.67,3.33,20.67,18.33,73.67
E2022_TEL,E2022,TEL,4.0,160.0,321,88,168,34,99,43,55,53,91,144,74,30,46,19,9,84,68,360,40.0,80.25,22.0,42.0,0.524,8.5,24.75,0.343,10.75,13.75,0.782,13.25,22.75,36.0,18.5,7.5,11.5,4.75,2.25,21.0,17.0,90.0
E2022_ULK,E2022,ULK,4.0,160.0,323,76,138,42,111,45,63,42,96,138,79,35,45,5,10,73,78,381,40.0,80.75,19.0,34.5,0.551,10.5,27.75,0.378,11.25,15.75,0.714,10.5,24.0,34.5,19.75,8.75,11.25,1.25,2.5,18.25,19.5,95.25
E2022_VIR,E2022,VIR,3.0,120.0,197,56,114,17,54,34,57,32,71,103,47,25,49,8,4,61,62,210,40.0,65.67,18.67,38.0,0.491,5.67,18.0,0.315,11.33,19.0,0.596,10.67,23.67,34.33,15.67,8.33,16.33,2.67,1.33,20.33,20.67,70.0
E2022_ZAL,E2022,ZAL,4.0,160.0,304,80,156,30,94,54,64,54,89,143,54,25,60,8,13,84,79,306,40.0,76.0,20.0,39.0,0.513,7.5,23.5,0.319,13.5,16.0,0.844,13.5,22.25,35.75,13.5,6.25,15.0,2.0,3.25,21.0,19.75,76.5
