game_player_id,game_id,game,round,phase,season_code,player_id,is_starter,is_playing,team_id,dorsal,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation
2007_191_PADS,2007_191,BAR-ROM,17,TOP 16,E2007,PADS,1.0,1.0,BAR,5,"BASILE, GIANLUCA",26:38,19,2,4,4,9,3,3,0,2,2,0,1,0,0,0,1,4,18
2007_191_PAZU,2007_191,BAR-ROM,17,TOP 16,E2007,PAZU,0.0,1.0,BAR,6,"SANCHEZ, PEPE",15:36,3,0,0,1,3,0,0,2,3,5,3,2,2,0,0,1,0,8
2007_191_PJJF,2007_191,BAR-ROM,17,TOP 16,E2007,PJJF,1.0,1.0,BAR,8,"TRIAS, JORDI",18:19,8,3,5,0,0,2,2,3,5,8,0,1,2,0,0,0,1,14
2007_191_PAHW,2007_191,BAR-ROM,17,TOP 16,E2007,PAHW,0.0,1.0,BAR,9,"MARCONATO, DENIS",15:36,4,2,3,0,0,0,0,0,1,1,0,0,0,2,0,1,1,6
2007_191_PATA,2007_191,BAR-ROM,17,TOP 16,E2007,PATA,1.0,1.0,BAR,10,"LAKOVIC, JAKA",25:48,17,2,4,3,4,4,5,0,2,2,3,1,4,0,0,1,4,18
2007_191_P000751,2007_191,BAR-ROM,17,TOP 16,E2007,P000751,0.0,1.0,BAR,13,"NEAL, GARY",10:20,2,1,2,0,6,0,0,1,4,5,0,0,0,0,2,1,1,-2
2007_191_PAXC,2007_191,BAR-ROM,17,TOP 16,E2007,PAXC,0.0,1.0,BAR,17,"VAZQUEZ, FRAN",15:21,9,3,4,0,0,3,4,1,3,4,0,1,3,2,0,3,2,10
2007_191_PJKP,2007_191,BAR-ROM,17,TOP 16,E2007,PJKP,0.0,1.0,BAR,21,"ILYASOVA, ERSAN",17:37,4,0,0,0,5,4,6,2,5,7,3,0,0,3,0,2,3,11
2007_191_PJCL,2007_191,BAR-ROM,17,TOP 16,E2007,PJCL,0.0,0.0,BAR,24,"MONCASI, ALBERT",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_191_PLGC,2007_191,BAR-ROM,17,TOP 16,E2007,PLGC,1.0,1.0,BAR,34,"ACKER, ALEX",24:06,9,0,2,1,2,6,6,3,0,3,2,1,1,0,1,2,3,11
2007_191_PBOD,2007_191,BAR-ROM,17,TOP 16,E2007,PBOD,1.0,1.0,BAR,41,"KASUN, MARIO",11:43,5,2,5,0,0,1,2,4,3,7,0,0,1,0,1,0,4,10
2007_191_PBKE,2007_191,BAR-ROM,17,TOP 16,E2007,PBKE,0.0,1.0,BAR,44,"GRIMAU, ROGER",18:56,6,1,3,1,2,1,2,0,3,3,2,3,3,0,1,4,2,4
2007_191_BAR,2007_191,BAR-ROM,17,TOP 16,E2007,BAR,0.0,1.0,BAR,TOTAL,AXA FC BARCELONA,200:00,86,16,32,10,31,24,30,17,34,51,13,10,17,7,5,16,25,111
2007_191_PADP,2007_191,BAR-ROM,17,TOP 16,E2007,PADP,1.0,1.0,ROM,7,"FUCKA, GREGOR",19:10,7,3,7,0,0,1,2,2,3,5,0,2,3,1,1,5,3,4
2007_191_PCCI,2007_191,BAR-ROM,17,TOP 16,E2007,PCCI,0.0,1.0,ROM,8,"TONOLLI, ALESSANDRO",19:45,2,1,1,0,0,0,0,1,0,1,1,1,1,0,0,3,0,1
2007_191_PLUK,2007_191,BAR-ROM,17,TOP 16,E2007,PLUK,0.0,1.0,ROM,9,"STEFANSSON, JON",15:17,0,0,2,0,2,0,0,0,4,4,1,1,0,0,0,1,1,2
2007_191_PBWL,2007_191,BAR-ROM,17,TOP 16,E2007,PBWL,0.0,1.0,ROM,12,"LORBEK, ERAZEM",25:33,12,6,11,0,3,0,0,1,5,6,0,1,1,2,2,2,2,10
2007_191_PTFR,2007_191,BAR-ROM,17,TOP 16,E2007,PTFR,1.0,1.0,ROM,15,"RAY, ALLAN",23:35,0,0,3,0,4,0,0,0,3,3,4,2,2,0,0,2,2,0
2007_191_PTGO,2007_191,BAR-ROM,17,TOP 16,E2007,PTGO,1.0,1.0,ROM,16,"CROSARIOL, ANDREA",08:54,2,1,4,0,0,0,0,3,1,4,0,1,0,0,0,2,0,2
2007_191_PADB,2007_191,BAR-ROM,17,TOP 16,E2007,PADB,0.0,1.0,ROM,17,"DE LA FUENTE, RODRIGO",13:54,3,0,1,1,2,0,0,0,0,0,0,1,0,1,0,2,1,2
2007_191_PCJA,2007_191,BAR-ROM,17,TOP 16,E2007,PCJA,1.0,1.0,ROM,20,"UKIC, ROKO-LENI",22:51,11,2,5,2,3,1,2,0,1,1,0,0,3,1,2,2,1,2
2007_191_PJKN,2007_191,BAR-ROM,17,TOP 16,E2007,PJKN,0.0,1.0,ROM,22,"GABINI, ROBERTO",01:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2
2007_191_P000753,2007_191,BAR-ROM,17,TOP 16,E2007,P000753,0.0,1.0,ROM,25,"JAABER, IBRAHIM IBIN",18:38,2,1,5,0,2,0,0,0,0,0,2,1,1,0,2,1,1,-4
2007_191_PKZA,2007_191,BAR-ROM,17,TOP 16,E2007,PKZA,1.0,1.0,ROM,34,"HAWKINS, DAVID",30:50,18,4,4,2,5,4,5,0,2,2,0,2,4,0,0,3,5,16
2007_191_ROM,2007_191,BAR-ROM,17,TOP 16,E2007,ROM,0.0,1.0,ROM,TOTAL,LOTTOMATICA ROMA,200:00,57,18,43,5,21,6,9,8,20,28,8,14,15,5,7,25,16,37
2007_051_PTGI,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,PTGI,0.0,1.0,LJU,4,"DONCIC, SASA",15:22,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,-1
2007_051_P000184,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,P000184,0.0,1.0,LJU,6,"BOOKER, CHRIS",12:30,4,2,4,0,0,0,0,0,0,0,0,2,1,0,0,1,1,3
2007_051_PTGJ,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,PTGJ,0.0,0.0,LJU,7,"MOCNIK, JAN",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_051_PTHB,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,PTHB,1.0,1.0,LJU,9,"DRAGIC, GORAN",22:34,10,2,4,2,3,0,0,2,1,3,2,1,2,0,0,2,1,10
2007_051_PJYE,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,PJYE,1.0,1.0,LJU,11,"RIZVIC, HASAN",16:31,7,3,6,0,0,1,2,0,3,3,0,1,1,1,0,1,3,9
2007_051_PAIV,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,PAIV,1.0,1.0,LJU,12,"MILIC, MARKO",26:16,12,6,8,0,1,0,0,4,2,6,1,0,4,0,0,5,2,9
2007_051_PAPY,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,PAPY,1.0,1.0,LJU,13,"HUKIC, JASMIN",28:31,10,1,4,2,8,2,2,0,2,2,0,1,2,0,0,5,2,-1
2007_051_PJBJ,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,PJBJ,0.0,0.0,LJU,15,"BEGIC, MIRZA",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_051_PTGK,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,PTGK,0.0,1.0,LJU,20,"BAILEY, MAURICE",26:41,11,1,3,1,5,6,8,0,1,1,3,2,0,0,0,2,8,15
2007_051_P000183,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,P000183,0.0,0.0,LJU,23,"ANDERSON, LUKE",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_051_PLHD,2007_051,LJU-BAS,5,REGULAR SEASON,E2007,PLHD,0.0,1.0,LJU,24,"ZUPAN, MIHA",19:01,8,0,3,0,1,8,8,3,0,3,1,0,2,0,1,5,5,5
