game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
2007_001,OLY-BAS,1,REGULAR SEASON,E2007,OLY,BAS,0,0,0,0,0,0,27,18,7,24,9,2,11,2,9,1,4,2,15,1,11,6,91,4,57,33,10,18,48-37,21,58-37,10,22,60-42,24,60-52,21,3,21,1,58-37,0-3
2007_002,VIR-ZAL,1,REGULAR SEASON,E2007,VIR,ZAL,0,0,0,0,0,0,20,13,10,24,6,11,7,14,9,5,8,9,5,3,10,4,35,46,41,34,8,33,61-65,35,69-65,8,13,26-25,14,26-33,6,8,39,5,75-69,7-15
2007_003,SOP-CSK,1,REGULAR SEASON,E2007,SOP,CSK,0,0,0,0,0,0,21,6,5,23,5,7,4,4,2,3,1,3,5,6,5,12,45,24,52,36,7,3,2-4,5,9-4,10,8,16-9,11,16-19,7,26,8,36,16-9,58-84
2007_004,SIE-LJU,1,REGULAR SEASON,E2007,SIE,LJU,0,0,0,0,0,0,30,9,6,27,5,3,11,11,8,12,6,5,9,10,7,4,31,49,46,6,13,14,30-24,18,43-24,7,6,16-8,8,16-15,30,0,35,0,74-44,
2007_005,ARI-MAL,1,REGULAR SEASON,E2007,ARI,MAL,0,0,0,0,0,0,16,17,12,14,10,5,6,12,4,5,1,1,5,4,8,8,56,31,49,34,10,8,21-23,14,31-23,6,5,16-13,6,16-19,8,8,14,29,31-23,55-63
2007_006,CIB-IST,1,REGULAR SEASON,E2007,CIB,IST,0,0,0,0,0,0,14,7,10,22,2,5,11,5,4,6,4,0,5,6,9,4,52,41,60,25,14,28,64-70,31,78-70,9,23,52-56,25,52-65,8,13,31,25,78-70,52-65
2007_007,MIL-LIE,1,REGULAR SEASON,E2007,MIL,LIE,0,0,0,0,0,0,20,9,4,22,3,12,4,7,4,8,6,9,0,5,7,6,15,61,56,27,6,28,45-59,29,51-59,7,1,5-2,1,5-9,0,18,0,18,,24-42
2007_008,TEL-LEM,1,REGULAR SEASON,E2007,TEL,LEM,0,0,0,0,0,0,20,14,3,22,8,7,10,8,7,9,10,5,21,4,7,9,48,26,47,24,7,8,20-23,12,27-23,7,24,48-49,25,48-56,8,10,15,27,35-27,50-60
2007_009,ULK-MAD,1,REGULAR SEASON,E2007,ULK,MAD,0,0,0,0,0,0,22,8,9,13,9,10,3,3,4,1,9,5,10,5,13,6,43,29,56,24,14,26,43-65,29,57-65,15,6,10-15,10,10-30,0,24,0,13,,15-39
2007_010,PAN-ROM,1,REGULAR SEASON,E2007,PAN,ROM,0,0,0,0,0,0,20,8,4,18,3,8,10,3,2,0,4,5,4,6,12,4,48,38,52,31,14,24,46-56,29,60-56,9,14,27-28,16,27-37,9,12,32,17,69-60,28-40
2007_011,BAM-ROA,1,REGULAR SEASON,E2007,BAM,ROA,0,0,0,0,0,0,27,10,4,18,17,5,11,6,4,1,7,4,7,2,7,3,51,10,53,11,11,16,16-29,21,27-29,9,3,5-5,4,5-14,3,16,1,31,3-0,39-55
2007_012,PAR-BAR,1,REGULAR SEASON,E2007,PAR,BAR,0,0,0,0,0,0,23,8,11,17,10,2,6,4,3,4,3,3,10,1,4,12,47,34,42,36,8,23,48-47,25,56-47,7,37,73-66,39,73-73,12,9,35,5,70-58,4-13
2007_013,LJU-OLY,2,REGULAR SEASON,E2007,LJU,OLY,0,0,0,0,0,0,14,6,12,13,5,7,6,15,7,3,3,0,8,6,3,3,58,29,47,31,6,10,14-21,12,20-21,6,4,8-8,6,8-14,14,7,39,10,83-69,14-21
2007_014,CSK-SIE,2,REGULAR SEASON,E2007,CSK,SIE,0,0,0,0,0,0,28,6,1,22,6,6,8,2,2,3,0,3,6,5,10,0,31,43,54,16,9,17,27-25,19,36-25,8,19,36-25,20,36-33,12,5,24,5,48-36,7-12
2007_015,ZAL-SOP,2,REGULAR SEASON,E2007,ZAL,SOP,0,0,0,0,0,0,23,9,16,19,4,5,5,2,2,1,1,0,7,7,7,2,49,33,56,16,11,15,24-41,19,35-41,7,1,0-0,2,0-7,10,18,40,10,82-72,13-31
2007_016,BAS-VIR,2,REGULAR SEASON,E2007,BAS,VIR,0,0,0,0,0,0,31,14,10,22,7,6,7,9,6,5,6,2,13,6,6,2,64,34,55,16,9,11,29-20,13,38-20,11,39,98-60,40,98-71,38,3,39,2,98-60,0-3
2007_017,LEM-ARI,2,REGULAR SEASON,E2007,LEM,ARI,0,0,0,0,0,0,23,6,10,24,8,6,7,7,2,3,4,4,11,4,6,4,46,20,45,24,6,3,2-7,5,8-7,9,13,23-25,17,23-34,4,14,9,19,17-13,25-39
2007_018,LIE-TEL,2,REGULAR SEASON,E2007,LIE,TEL,0,0,0,0,0,0,23,3,17,14,8,4,6,6,4,5,4,6,16,2,5,6,65,27,43,31,7,19,44-31,22,51-31,8,30,72-51,33,72-59,27,0,27,0,68-41,
2007_019,IST-MIL,2,REGULAR SEASON,E2007,IST,MIL,0,0,0,0,0,0,24,5,11,21,7,4,11,2,5,4,7,1,4,5,7,2,45,35,52,18,16,9,15-18,15,31-18,10,31,71-52,34,71-62,21,7,26,3,56-35,0-7
2007_020,MAL-CIB,2,REGULAR SEASON,E2007,MAL,CIB,0,0,0,0,0,0,30,4,10,16,11,8,11,8,7,9,4,4,9,16,4,0,37,65,49,15,9,14,26-27,15,35-27,6,11,24-18,13,24-24,38,6,40,4,102-64,4-10
2007_021,BAR-ULK,2,REGULAR SEASON,E2007,BAR,ULK,0,0,0,0,0,0,27,4,9,24,5,5,6,8,3,5,3,3,13,10,11,2,52,30,48,19,13,5,10-10,9,23-10,9,20,44-33,23,44-42,17,2,15,3,35-18,6-8
2007_022,ROA-PAR,2,REGULAR SEASON,E2007,ROA,PAR,0,0,0,0,0,0,14,13,17,19,6,3,12,5,6,4,4,1,11,5,10,7,67,20,40,48,7,38,80-85,40,87-85,10,14,29-29,17,29-39,2,12,1,21,2-0,40-52
2007_023,PAN-BAM,2,REGULAR SEASON,E2007,PAN,BAM,0,0,0,0,0,0,23,6,4,25,2,3,7,5,2,2,1,0,7,7,8,8,27,39,41,20,7,20,32-29,22,39-29,6,36,62-55,38,62-61,12,0,29,0,50-38,
2007_024,MAD-ROM,2,REGULAR SEASON,E2007,MAD,ROM,0,0,0,0,0,0,24,3,11,20,7,3,10,3,9,0,2,1,14,2,12,6,72,17,57,26,9,30,64-64,32,73-64,8,14,35-24,16,35-32,15,2,8,27,25-10,55-57
