game_play_id,game_id,game,round,phase,season_code,quarter,type,number_of_play,team_id,player_id,play_type,player,team,dorsal,minute,marker_time,points_a,points_b,comment,play_info
2007_001_002,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,2,BAS,PCBX,3FGM,"PRIGIONI, PABLO",BASKONIA,5,1,09:00,0,3,,Three Pointer (1/1 -  3 pt)
2007_001_003,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,3,BAS,PCBY,AS,"SPLITTER, TIAGO",BASKONIA,21,1,09:00,0,0,,Assist (1)
2007_001_004,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,4,OLY,PTFV,2FGA,"WOODS, QYNTEL",OLYMPIACOS PIRAEUS B.C.,6,1,09:00,0,0,,Missed Two Pointer (0/1 -  0 pt)
2007_001_005,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,5,BAS,PJZJ,D,"TELETOVIC, MIRZA",BASKONIA,12,1,09:00,0,0,,Def Rebound (1)
2007_001_006,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,6,BAS,PCBY,TO,"SPLITTER, TIAGO",BASKONIA,21,1,09:00,0,0,,Turnover (1)
2007_001_007,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,7,OLY,PCBV,ST,"MACIJAUSKAS, ARVYDAS",OLYMPIACOS PIRAEUS B.C.,7,1,09:00,0,0,,Steal (1)
2007_001_008,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,8,OLY,PCBV,2FGM,"MACIJAUSKAS, ARVYDAS",OLYMPIACOS PIRAEUS B.C.,7,1,09:00,2,3,,Two Pointer (1/1 -  2 pt)
2007_001_010,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,10,BAS,PCBY,2FGM,"SPLITTER, TIAGO",BASKONIA,21,2,08:00,2,5,,Two Pointer (1/1 -  2 pt)
2007_001_011,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,11,BAS,PCBX,AS,"PRIGIONI, PABLO",BASKONIA,5,2,08:00,0,0,,Assist (1)
2007_001_012,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,12,OLY,P000126,2FGA,"JACKSON, MARC",OLYMPIACOS PIRAEUS B.C.,25,2,08:00,0,0,,Missed Two Pointer (0/1 -  0 pt)
2007_001_013,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,13,BAS,PCBY,D,"SPLITTER, TIAGO",BASKONIA,21,2,08:00,0,0,,Def Rebound (1)
2007_001_014,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,14,BAS,PANB,2FGA,"RAKOCEVIC, IGOR",BASKONIA,8,2,08:00,0,0,,Missed Two Pointer (0/1 -  0 pt)
2007_001_015,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,15,OLY,PAQU,D,"BOUROUSIS, IOANNIS",OLYMPIACOS PIRAEUS B.C.,9,2,08:00,0,0,,Def Rebound (1)
2007_001_016,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,16,OLY,P000126,2FGAB,"JACKSON, MARC",OLYMPIACOS PIRAEUS B.C.,25,2,08:00,0,0,,Missed Two Pointer (0/2 -  0 pt)
2007_001_017,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,17,OLY,P000126,AG,"JACKSON, MARC",OLYMPIACOS PIRAEUS B.C.,25,2,08:00,0,0,,Shot Rejected (1)
2007_001_018,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,q1,0,18,BAS,PJZJ,FV,"TELETOVIC, MIRZA",BASKONIA,12,2,08:00,0,0,,Block (1)
