season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2017_P003733_PAM,E2017,P003733,ABALDE_ ALBERTO,PAM,25.0,9.0,478.5,190,43,89,28,54,20,23,12,40,52,42,8,32,0,5,44,36,172,19.14,7.6,1.72,3.56,0.483,1.12,2.16,0.519,0.8,0.92,0.87,0.48,1.6,2.08,1.68,0.32,1.28,0.0,0.2,1.76,1.44,6.88
2019_P003733_PAM,E2019,P003733,ABALDE_ ALBERTO,PAM,23.0,4.0,499.3,179,49,97,15,53,36,49,32,60,92,38,11,19,0,8,29,40,205,21.71,7.78,2.13,4.22,0.505,0.65,2.3,0.283,1.57,2.13,0.735,1.39,2.61,4.0,1.65,0.48,0.83,0.0,0.35,1.26,1.74,8.91
2020_P003733_MAD,E2020,P003733,ABALDE_ ALBERTO,MAD,39.0,23.0,761.2,281,47,100,50,115,37,44,11,93,104,91,21,38,0,6,60,57,325,19.52,7.21,1.21,2.56,0.47,1.28,2.95,0.435,0.95,1.13,0.841,0.28,2.38,2.67,2.33,0.54,0.97,0.0,0.15,1.54,1.46,8.33
2021_P003733_MAD,E2021,P003733,ABALDE_ ALBERTO,MAD,30.0,19.0,563.4,179,40,90,25,74,24,32,20,69,89,44,14,33,0,2,56,35,163,18.78,5.97,1.33,3.0,0.444,0.83,2.47,0.338,0.8,1.07,0.75,0.67,2.3,2.97,1.47,0.47,1.1,0.0,0.07,1.87,1.17,5.43
2022_P003733_MAD,E2022,P003733,ABALDE_ ALBERTO,MAD,21.0,8.0,299.5,51,8,23,7,31,14,22,10,33,43,34,7,12,0,2,35,18,57,14.26,2.43,0.38,1.1,0.348,0.33,1.48,0.226,0.67,1.05,0.636,0.48,1.57,2.05,1.62,0.33,0.57,0.0,0.1,1.67,0.86,2.71
2011_P003527_CTU,E2011,P003527,ABASS_ AWUDU,CTU,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012_P003527_CTU,E2012,P003527,ABASS_ AWUDU,CTU,2.0,0.0,36.8,7,2,7,1,5,0,0,6,6,12,0,2,0,0,1,2,0,9,18.38,3.5,1.0,3.5,0.286,0.5,2.5,0.2,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,4.5
2016_P003527_MIL,E2016,P003527,ABASS_ AWUDU,MIL,23.0,11.0,369.5,105,18,43,16,38,21,25,17,27,44,12,9,15,6,3,45,23,85,16.07,4.57,0.78,1.87,0.419,0.7,1.65,0.421,0.91,1.09,0.84,0.74,1.17,1.91,0.52,0.39,0.65,0.26,0.13,1.96,1.0,3.7
2017_P003527_MIL,E2017,P003527,ABASS_ AWUDU,MIL,10.0,0.0,47.6,9,2,7,1,8,2,3,5,6,11,2,5,2,0,1,5,1,7,4.76,0.9,0.2,0.7,0.286,0.1,0.8,0.125,0.2,0.3,0.667,0.5,0.6,1.1,0.2,0.5,0.2,0.0,0.1,0.5,0.1,0.7
2022_P003527_VIR,E2022,P003527,ABASS_ AWUDU,VIR,5.0,3.0,97.5,34,5,10,8,13,0,0,1,4,5,5,3,4,2,0,7,1,29,19.51,6.8,1.0,2.0,0.5,1.6,2.6,0.615,0.0,0.0,0.0,0.2,0.8,1.0,1.0,0.6,0.8,0.4,0.0,1.4,0.2,5.8
2010_P002414_PAM,E2010,P002414,ABIA_ LARRY,PAM,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_PAWH_IST,E2007,PAWH,ABI_ MUSTAFA,IST,15.0,5.0,185.7,22,4,10,3,5,5,8,0,12,12,4,3,7,1,1,23,10,10,12.38,1.47,0.27,0.67,0.4,0.2,0.33,0.6,0.33,0.53,0.625,0.0,0.8,0.8,0.27,0.2,0.47,0.07,0.07,1.53,0.67,0.67
2008_PAWH_IST,E2008,PAWH,ABI_ MUSTAFA,IST,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_P012298_OLY,E2022,P012298,ABOSI_ VENIAMIN,OLY,1.0,0.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
2008_PLNW_NAN,E2008,PLNW,ABOUBAKAR ZAKI_ AMADOU,NAN,10.0,1.0,87.4,13,5,11,0,1,3,9,6,14,20,2,1,4,5,1,13,8,18,8.75,1.3,0.5,1.1,0.455,0.0,0.1,0.0,0.3,0.9,0.333,0.6,1.4,2.0,0.2,0.1,0.4,0.5,0.1,1.3,0.8,1.8
