season_team_id,season_code,team_id,games_played,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2007_ARI,E2007,ARI,20.0,805.0,1502.0,381.0,773.0,142.0,395.0,314.0,436.0,198.0,404.0,602.0,212.0,183.0,267.0,52.0,61.0,421.0,440.0,1475.0,40.2,75.1,19.0,38.6,0.493,7.1,19.8,0.359,15.7,21.8,0.72,9.9,20.2,30.1,10.6,9.2,13.4,2.6,3.0,21.0,22.0,73.8
2007_BAM,E2007,BAM,14.0,559.1,879.0,210.0,421.0,100.0,292.0,159.0,246.0,82.0,304.0,386.0,161.0,80.0,220.0,25.0,36.0,310.0,271.0,746.0,39.9,62.8,15.0,30.1,0.499,7.1,20.9,0.342,11.4,17.6,0.646,5.9,21.7,27.6,11.5,5.7,15.7,1.8,2.6,22.1,19.4,53.3
2007_BAR,E2007,BAR,23.0,919.8,1708.0,483.0,895.0,150.0,514.0,292.0,396.0,244.0,535.0,779.0,328.0,216.0,293.0,87.0,66.0,452.0,449.0,1876.0,40.0,74.3,21.0,38.9,0.54,6.5,22.3,0.292,12.7,17.2,0.737,10.6,23.3,33.9,14.3,9.4,12.7,3.8,2.9,19.7,19.5,81.6
2007_BAS,E2007,BAS,25.0,1005.0,2066.0,528.0,937.0,204.0,534.0,398.0,549.0,218.0,590.0,808.0,333.0,199.0,316.0,65.0,67.0,505.0,536.0,2229.0,40.2,82.6,21.1,37.5,0.564,8.2,21.4,0.382,15.9,22.0,0.725,8.7,23.6,32.3,13.3,8.0,12.6,2.6,2.7,20.2,21.4,89.2
2007_CIB,E2007,CIB,14.0,560.0,1080.0,281.0,524.0,106.0,295.0,200.0,260.0,106.0,273.0,379.0,140.0,130.0,202.0,20.0,49.0,326.0,276.0,956.0,40.0,77.1,20.1,37.4,0.536,7.6,21.1,0.359,14.3,18.6,0.769,7.6,19.5,27.1,10.0,9.3,14.4,1.4,3.5,23.3,19.7,68.3
2007_CSK,E2007,CSK,25.0,999.8,1983.0,483.0,909.0,213.0,527.0,378.0,502.0,203.0,592.0,795.0,346.0,192.0,250.0,62.0,62.0,446.0,534.0,2290.0,40.0,79.3,19.3,36.4,0.531,8.5,21.1,0.404,15.1,20.1,0.753,8.1,23.7,31.8,13.8,7.7,10.0,2.5,2.5,17.8,21.4,91.6
2007_IST,E2007,IST,20.0,809.9,1532.0,415.0,789.0,142.0,388.0,276.0,389.0,179.0,470.0,649.0,254.0,144.0,257.0,45.0,37.0,398.0,411.0,1610.0,40.5,76.6,20.8,39.4,0.526,7.1,19.4,0.366,13.8,19.4,0.71,9.0,23.5,32.4,12.7,7.2,12.8,2.2,1.8,19.9,20.6,80.5
2007_LEM,E2007,LEM,14.0,565.0,1035.0,323.0,609.0,78.0,231.0,155.0,235.0,121.0,285.0,406.0,232.0,117.0,189.0,39.0,36.0,279.0,266.0,1072.0,40.4,73.9,23.1,43.5,0.53,5.6,16.5,0.338,11.1,16.8,0.66,8.6,20.4,29.0,16.6,8.4,13.5,2.8,2.6,19.9,19.0,76.6
2007_LIE,E2007,LIE,20.0,805.0,1633.0,404.0,750.0,162.0,396.0,339.0,437.0,210.0,466.0,676.0,266.0,220.0,300.0,36.0,54.0,452.0,413.0,1760.0,40.2,81.6,20.2,37.5,0.539,8.1,19.8,0.409,17.0,21.8,0.776,10.5,23.3,33.8,13.3,11.0,15.0,1.8,2.7,22.6,20.6,88.0
2007_LJU,E2007,LJU,14.0,560.0,1030.0,311.0,586.0,83.0,281.0,159.0,224.0,137.0,284.0,421.0,170.0,110.0,223.0,44.0,23.0,345.0,251.0,897.0,40.0,73.6,22.2,41.9,0.531,5.9,20.1,0.295,11.4,16.0,0.71,9.8,20.3,30.1,12.1,7.9,15.9,3.1,1.6,24.6,17.9,64.1
